{'epoch': 0, 'batch_idx': 36, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.149383544921875, 'time': 1651599074.939449}, {'loss_type': 'value_loss', 'loss': 0.46394526958465576, 'time': 1651599074.939463}, {'loss_type': 'rolling_mean', 'loss': -0.088, 'time': 1651599074.939825}], 'time': 1651599074.9398315, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 37, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.09229325503110886, 'time': 1651599076.7942107}, {'loss_type': 'value_loss', 'loss': 0.42013421654701233, 'time': 1651599076.794225}, {'loss_type': 'rolling_mean', 'loss': -0.076, 'time': 1651599076.794604}], 'time': 1651599076.7946105, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 38, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.11623360961675644, 'time': 1651599078.7117233}, {'loss_type': 'value_loss', 'loss': 0.33816763758659363, 'time': 1651599078.7117367}, {'loss_type': 'rolling_mean', 'loss': -0.066, 'time': 1651599078.7121274}], 'time': 1651599078.7121334, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 39, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.22936773300170898, 'time': 1651599080.5911646}, {'loss_type': 'value_loss', 'loss': 0.4644726514816284, 'time': 1651599080.5911784}, {'loss_type': 'rolling_mean', 'loss': -0.058, 'time': 1651599080.5914366}], 'time': 1651599080.591443, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 40, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.14656947553157806, 'time': 1651599082.4679353}, {'loss_type': 'value_loss', 'loss': 0.42875897884368896, 'time': 1651599082.4679492}, {'loss_type': 'rolling_mean', 'loss': -0.054, 'time': 1651599082.468324}], 'time': 1651599082.46833, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 41, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.08259959518909454, 'time': 1651599084.3663592}, {'loss_type': 'value_loss', 'loss': 0.3841180205345154, 'time': 1651599084.3663723}, {'loss_type': 'rolling_mean', 'loss': -0.062, 'time': 1651599084.3667605}], 'time': 1651599084.366766, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 42, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.04693973436951637, 'time': 1651599086.2446723}, {'loss_type': 'value_loss', 'loss': 0.3991301655769348, 'time': 1651599086.2446856}, {'loss_type': 'rolling_mean', 'loss': -0.054, 'time': 1651599086.2450643}], 'time': 1651599086.2450707, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 43, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.06825928390026093, 'time': 1651599088.1004827}, {'loss_type': 'value_loss', 'loss': 0.46337130665779114, 'time': 1651599088.1004958}, {'loss_type': 'rolling_mean', 'loss': -0.058, 'time': 1651599088.100876}], 'time': 1651599088.1008828, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 44, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.15075944364070892, 'time': 1651599089.9821377}, {'loss_type': 'value_loss', 'loss': 0.3350202143192291, 'time': 1651599089.982152}, {'loss_type': 'rolling_mean', 'loss': -0.076, 'time': 1651599089.9825299}], 'time': 1651599089.9825354, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 45, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.036688268184661865, 'time': 1651599091.8584595}, {'loss_type': 'value_loss', 'loss': 0.4577065706253052, 'time': 1651599091.8584733}, {'loss_type': 'rolling_mean', 'loss': -0.078, 'time': 1651599091.8588831}], 'time': 1651599091.858889, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 46, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.04512306675314903, 'time': 1651599093.7049832}, {'loss_type': 'value_loss', 'loss': 0.34493982791900635, 'time': 1651599093.704997}, {'loss_type': 'rolling_mean', 'loss': -0.092, 'time': 1651599093.705388}], 'time': 1651599093.7053947, 'type': 'trainstep_info'}
